STATION,DATE,HourlyDryBulbTemperature
72365623049,9/1/14 0:53,66
72365623049,9/1/14 1:53,61
72365623049,9/1/14 2:53,65
72365623049,9/1/14 3:53,56
72365623049,9/1/14 4:53,51
72365623049,9/1/14 5:53,56
72365623049,9/1/14 6:53,65
72365623049,9/1/14 7:53,72
72365623049,9/1/14 8:53,76
72365623049,9/1/14 9:53,79
72365623049,9/1/14 10:53,82
72365623049,9/1/14 11:53,83
72365623049,9/1/14 12:53,87
72365623049,9/1/14 13:53,88
72365623049,9/1/14 14:53,89
72365623049,9/1/14 15:53,88
72365623049,9/1/14 16:53,87
72365623049,9/1/14 17:53,84
72365623049,9/1/14 18:53,74
72365623049,9/1/14 19:53,70
72365623049,9/1/14 20:53,71
72365623049,9/1/14 21:53,63
72365623049,9/1/14 22:53,64
72365623049,9/1/14 23:53,62
72365623049,9/1/14 23:59,
72365623049,9/2/14 0:53,63
72365623049,9/2/14 1:53,63
72365623049,9/2/14 2:53,60
72365623049,9/2/14 3:53,59
72365623049,9/2/14 4:53,58
72365623049,9/2/14 5:53,58
72365623049,9/2/14 6:53,62
72365623049,9/2/14 7:53,68
72365623049,9/2/14 8:53,74
72365623049,9/2/14 9:53,80
72365623049,9/2/14 10:53,83
72365623049,9/2/14 11:53,86
72365623049,9/2/14 12:53,89
72365623049,9/2/14 13:53,87
72365623049,9/2/14 14:53,86
72365623049,9/2/14 15:53,86
72365623049,9/2/14 16:53,86
72365623049,9/2/14 17:53,83
72365623049,9/2/14 18:53,76
72365623049,9/2/14 19:53,74
72365623049,9/2/14 20:53,67
72365623049,9/2/14 21:53,68
72365623049,9/2/14 22:53,68
72365623049,9/2/14 23:53,64
72365623049,9/2/14 23:59,
72365623049,9/3/14 0:53,67
72365623049,9/3/14 1:53,62
72365623049,9/3/14 2:53,60
72365623049,9/3/14 3:53,62
72365623049,9/3/14 4:53,56
72365623049,9/3/14 5:53,58
72365623049,9/3/14 6:53,63
72365623049,9/3/14 7:53,72
72365623049,9/3/14 8:53,77
