STATION,DATE,REPORT_TYPE,SOURCE,HourlyDryBulbTemperature
72365623049,2014-09-01T00:53:00,FM-15,7,66
72365623049,2014-09-01T01:53:00,FM-15,7,61
72365623049,2014-09-01T02:53:00,FM-15,7,65
72365623049,2014-09-01T03:53:00,FM-15,7,56
72365623049,2014-09-01T04:53:00,FM-15,7,51
72365623049,2014-09-01T05:53:00,FM-15,7,56
72365623049,2014-09-01T06:53:00,FM-15,7,65
72365623049,2014-09-01T07:53:00,FM-15,7,72
72365623049,2014-09-01T08:53:00,FM-15,7,76
72365623049,2014-09-01T09:53:00,FM-15,7,79
72365623049,2014-09-01T10:53:00,FM-15,7,82
72365623049,2014-09-01T11:53:00,FM-15,7,83
72365623049,2014-09-01T12:53:00,FM-15,7,87
72365623049,2014-09-01T13:53:00,FM-15,7,88
72365623049,2014-09-01T14:53:00,FM-15,7,89
72365623049,2014-09-01T15:53:00,FM-15,7,88
72365623049,2014-09-01T16:53:00,FM-15,7,87
72365623049,2014-09-01T17:53:00,FM-15,7,84
72365623049,2014-09-01T18:53:00,FM-15,7,74
72365623049,2014-09-01T19:53:00,FM-15,7,70
72365623049,2014-09-01T20:53:00,FM-15,7,71
72365623049,2014-09-01T21:53:00,FM-15,7,63
72365623049,2014-09-01T22:53:00,FM-15,7,64
72365623049,2014-09-01T23:53:00,FM-15,7,62
72365623049,2014-09-01T23:59:00,SOD  ,6,
72365623049,2014-09-02T00:53:00,FM-15,7,63
72365623049,2014-09-02T01:53:00,FM-15,7,63
72365623049,2014-09-02T02:53:00,FM-15,7,60
72365623049,2014-09-02T03:53:00,FM-15,7,59
72365623049,2014-09-02T04:53:00,FM-15,7,58
72365623049,2014-09-02T05:53:00,FM-15,7,58
72365623049,2014-09-02T06:53:00,FM-15,7,62
72365623049,2014-09-02T07:53:00,FM-15,7,68
72365623049,2014-09-02T08:53:00,FM-15,7,74
72365623049,2014-09-02T09:53:00,FM-15,7,80
72365623049,2014-09-02T10:53:00,FM-15,7,83
72365623049,2014-09-02T11:53:00,FM-15,7,86
72365623049,2014-09-02T12:53:00,FM-15,7,89
72365623049,2014-09-02T13:53:00,FM-15,7,87
72365623049,2014-09-02T14:53:00,FM-15,7,86
72365623049,2014-09-02T15:53:00,FM-15,7,86
72365623049,2014-09-02T16:53:00,FM-15,7,86
72365623049,2014-09-02T17:53:00,FM-15,7,83
72365623049,2014-09-02T18:53:00,FM-15,7,76
72365623049,2014-09-02T19:53:00,FM-15,7,74
72365623049,2014-09-02T20:53:00,FM-15,7,67
72365623049,2014-09-02T21:53:00,FM-15,7,68
72365623049,2014-09-02T22:53:00,FM-15,7,68
72365623049,2014-09-02T23:53:00,FM-15,7,64
72365623049,2014-09-02T23:59:00,SOD  ,6,
72365623049,2014-09-03T00:53:00,FM-15,7,67
72365623049,2014-09-03T01:53:00,FM-15,7,62
72365623049,2014-09-03T02:53:00,FM-15,7,60
72365623049,2014-09-03T03:53:00,FM-15,7,62
72365623049,2014-09-03T04:53:00,FM-15,7,56
72365623049,2014-09-03T05:53:00,FM-15,7,58
72365623049,2014-09-03T06:53:00,FM-15,7,63
