"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-01","85","48","67"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-02","86","48","61"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-03","87","54","61"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-04","84","55","63"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-05","76","55","60"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-06","74","50","59"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-07","79","45","63"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-08","80","51","63"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-09","82","57","70"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-10","77","56","64"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-11","81","51","62"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-12","65","50","51"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-13","73","42","53"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-14","81","46","60"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-15","82","51","61"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-16","74","52","64"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-17","64","51","58"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-18","82","42","64"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-19","79","52","64"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-20","86","50","67"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-21","79","54","67"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-22","74","56","62"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-23","78","55","65"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-24","81","45","65"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-25","77","52","59"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-26","79","44","64"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-27","76","46","64"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-28","74","51","67"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-29","74","53","55"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-09-30","70","39","56"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-10-01","71","42","61"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-10-02","65","36","51"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-10-03","72","38","59"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-10-04","75","35","66"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-10-05","74","35","59"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-10-06","76","40","52"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-10-07","76","36","58"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-10-08","71","42","57"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-10-09","69","45","53"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-10-10","54","45","47"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-10-11","67","43","55"
